player name,year,pick,position,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT,OFF,DEF,TRB,AST,STL,BLK,PF,TOV,PTS,WS,eFG%,PER
Carmelo Anthony,2003,3,F,35,35,36.4,7.91,17.49,.453,1.60,4.74,.337,4.80,6.80,.706,2.89,6.86,9.74,2.20,1.49,0.86,2.20,2.20,22.23,7.56,.498,24.92
Chris Bosh,2003,4,PF,31,31,31.0,5.45,9.74,.560,0.71,1.52,.468,4.10,5.61,.730,3.06,5.90,8.97,1.23,0.97,2.13,2.35,2.32,15.71,5.30,.596,24.61
Dwyane Wade,2003,5,SG,33,33,32.1,7.61,15.18,.501,0.42,1.33,.318,5.88,7.55,.779,1.82,4.52,6.33,4.39,2.15,1.30,2.30,3.24,21.52,7.17,.515,31.24
Chris Kaman,2003,6,C,31,31,34.0,7.87,12.65,.622,0.00,0.00,.000,6.68,8.90,.750,3.61,8.42,12.03,1.26,0.61,3.16,3.19,4.42,22.42,6.24,.622,29.00
Kirk Hinrich,2003,7,G,37,37,33.5,6.27,13.19,.475,2.41,5.92,.406,2.38,3.38,.704,1.03,2.73,3.76,3.51,1.86,0.43,2.11,2.24,17.32,6.91,.567,21.06
T.J. Ford,2003,8,PG,33,33,33.6,4.82,12.03,.401,0.55,2.06,.265,4.82,5.85,.824,0.64,3.24,3.88,7.70,2.00,0.15,2.52,3.24,15.00,5.29,.423,20.54
Mike Sweetney,2003,9,PF,34,34,32.0,7.76,14.21,.547,0.00,0.09,.000,7.29,9.88,.738,4.06,6.71,10.76,1.94,1.38,3.21,2.79,2.09,22.82,8.89,.547,33.67
Jarvis Hayes,2003,10,SF,27,27,32.3,6.85,13.63,.503,2.00,4.70,.425,2.56,3.26,.784,1.26,3.15,4.41,2.00,1.15,0.44,2.37,1.41,18.26,4.13,.576,22.89
Nick Collison,2003,12,FC,38,38,32.4,7.39,13.34,.554,0.34,1.00,.342,3.34,5.26,.635,3.29,6.71,10.00,2.21,1.16,1.95,2.50,2.42,18.47,8.12,.567,26.94
Marcus Banks,2003,13,G,32,32,35.6,6.97,13.56,.514,1.28,3.81,.336,5.06,6.69,.757,0.56,2.81,3.38,5.47,2.84,0.12,2.78,3.91,20.28,5.90,.561,24.15
Luke Ridnour,2003,14,PG,33,33,35.4,6.15,14.24,.432,2.45,6.42,.382,4.91,5.58,.880,0.61,2.79,3.39,6.61,1.91,0.06,2.33,3.91,19.67,5.86,.518,20.84
Reece Gaines,2003,15,G,32,32,32.2,5.53,11.97,.462,2.34,5.91,.397,4.53,6.16,.736,0.56,2.38,2.94,4.97,1.69,0.12,2.56,2.97,17.94,5.89,.560,22.04
Troy Bell,2003,16,G,31,31,38.6,7.23,16.39,.441,3.42,8.52,.402,7.32,8.65,.847,1.55,3.03,4.58,3.71,2.26,0.23,2.13,2.55,25.19,7.31,.545,26.71
David West,2003,18,PF,32,32,36.5,6.66,12.97,.513,0.28,0.81,.346,6.53,8.00,.816,3.12,8.69,11.81,3.19,1.31,1.59,2.97,2.66,20.12,8.42,.524,27.70
Dahntay Jones,2003,20,GF,33,30,30.7,6.00,12.76,.470,1.42,3.58,.398,4.24,5.67,.749,1.39,4.06,5.45,0.88,1.15,0.55,3.06,1.91,17.67,5.31,.526,20.75
Brian Cook,2003,24,PF,30,30,31.3,6.73,14.07,.479,0.90,2.97,.303,5.60,6.83,.820,1.47,6.10,7.57,2.00,0.67,0.43,2.93,2.77,19.97,5.41,.511,23.83
Josh Howard,2003,29,GF,31,30,32.3,6.58,13.81,.477,1.71,4.58,.373,4.68,5.61,.833,3.29,5.00,8.29,1.90,2.06,1.55,2.87,2.65,19.55,6.96,.539,28.13
Jason Kapono,2003,31,SF,29,29,33.4,5.90,12.90,.457,2.21,5.55,.398,2.79,3.17,.880,1.79,3.41,5.21,2.03,0.59,0.00,2.24,2.10,16.79,3.46,.543,18.01
Luke Walton,2003,32,F,28,28,27.6,3.93,9.11,.431,1.00,2.61,.384,2.11,3.11,.678,1.43,4.18,5.61,5.07,0.93,0.25,2.00,2.79,10.75,3.22,.486,16.60
