player name,GP,TRB,AST,STL,BLK,PTS
Carmelo Anthony,82,6.07,2.77,1.18,0.50,21.04
Chris Bosh,75,7.43,1.04,0.79,1.41,11.48
Dwyane Wade,61,4.05,4.51,1.41,0.56,16.25
Chris Kaman,82,5.62,1.04,0.28,0.89,6.09
Kirk Hinrich,76,3.41,6.80,1.33,0.28,12.04
T.J. Ford,55,3.22,6.47,1.09,0.05,7.11
Mike Sweetney,42,3.74,0.33,0.43,0.29,4.29
Jarvis Hayes,70,3.77,1.51,1.01,0.16,9.61
Nick Collison,82,4.59,0.39,0.41,0.61,5.65
Marcus Banks,81,1.64,2.16,1.09,0.16,5.93
Luke Ridnour,69,1.57,2.36,0.75,0.10,5.54
Reece Gaines,38,1.03,1.05,0.29,0.05,1.82
Troy Bell,6,0.67,0.67,0.17,0.00,1.83
David West,71,4.18,0.85,0.38,0.39,3.85
Dahntay Jones,20,1.15,0.60,0.25,0.30,1.80
Brian Cook,35,2.89,0.57,0.46,0.46,4.43
Josh Howard,67,5.49,1.45,1.03,0.81,8.58
Jason Kapono,41,1.34,0.34,0.32,0.05,3.54
Luke Walton,72,1.76,1.57,0.39,0.11,2.42
Travis Hansen,41,1.71,0.46,0.24,0.22,3.00
Steve Blake,75,1.56,2.79,0.76,0.09,5.92
Derrick Zimmerman,2,2.00,3.50,0.00,0.00,2.00
Willie Green,53,1.23,1.00,0.49,0.09,6.87
Keith Bogans,73,4.34,1.34,0.63,0.14,6.82
Matt Bonner,82,3.48,0.59,0.48,0.23,7.18
Mo Williams,57,1.26,1.33,0.49,0.04,4.98
James Jones,6,0.33,0.00,0.17,0.00,1.17
Kyle Korver,74,1.50,0.54,0.34,0.11,4.46
Brandon Hunter,36,3.28,0.53,0.36,0.03,3.47
Emeka Okafor,73,10.89,0.88,0.85,1.71,15.14
Ben Gordon,82,2.62,2.00,0.65,0.12,15.06
Devin Harris,76,1.34,2.22,1.01,0.25,5.74
Josh Childress,80,6.03,1.89,0.93,0.44,10.09
Luol Deng,61,5.28,2.21,0.79,0.44,11.66
Babby Araujo,59,3.14,0.27,0.36,0.14,3.32
Andre Iguodala,82,5.66,3.00,1.68,0.59,9.04
Luke Jackson,10,0.60,0.30,0.00,0.00,2.90
Kris Humphries,67,2.94,0.64,0.37,0.27,4.15
Kirk Snyder,68,1.78,0.53,0.38,0.28,4.97
Jameer Nelson,79,2.44,3.00,0.99,0.04,8.72
Delonte West,39,1.67,1.36,0.54,0.21,4.49
Tony Allen,77,2.87,0.83,0.99,0.31,6.39
Kevin Martin,45,1.29,0.49,0.36,0.07,2.91
David Harrison,43,3.14,0.30,0.37,1.28,6.14
Lionel Chalmers,36,0.86,1.42,0.36,0.00,3.08
