,playerName,playerNameTrue,Pos,GP,TRB,AST,STL,BLK,PTS
0,Deandre Ayton,Deandre Ayton,C,71.0,10.3,1.8,0.9,0.9,16.3
1,Marvin Bagley,Marvin Bagley III,PF,62.0,7.6,1.0,0.5,1.0,14.9
2,Jaren Jackson,Jaren Jackson Jr.,PF,58.0,4.7,1.1,0.9,1.4,13.8
3,Trae Young,Trae Young,PG,81.0,3.7,8.1,0.9,0.2,19.1
4,Mohamed Bamba,Mo Bamba,C,47.0,5.0,0.8,0.3,1.4,6.2
5,Wendell Carter,Wendell Carter Jr.,C,44.0,7.0,1.8,0.6,1.3,10.3
6,Collin Sexton,Collin Sexton,PG,82.0,2.9,3.0,0.5,0.1,16.7
7,Kevin Knox,Kevin Knox,PF,75.0,4.5,1.1,0.6,0.3,12.8
8,Mikal Bridges,Mikal Bridges,SF,82.0,3.2,2.1,1.6,0.5,8.3
9,Shai Gilgeous-Alexander,Shai Gilgeous-Alexander,PG,82.0,2.8,3.3,1.2,0.5,10.8
10,Miles Bridges,Miles Bridges,SF,80.0,4.0,1.2,0.7,0.6,7.5
11,Jerome Robinson,Jerome Robinson,SG,33.0,1.2,0.6,0.3,0.1,3.4
12,Troy Brown,Troy Brown Jr.,SF,52.0,2.8,1.5,0.4,0.1,4.8
13,Zhaire Smith,Zhaire Smith,SG,6.0,2.2,1.7,0.3,0.3,6.7
14,Donte DiVincenzo,Donte DiVincenzo,SG,27.0,2.4,1.1,0.5,0.2,4.9
15,Lonnie Walker,Lonnie Walker,SG,17.0,1.0,0.5,0.4,0.2,2.6
16,Kevin Huerter,Kevin Huerter,SG,75.0,3.3,2.9,0.9,0.3,9.7
17,Josh Okogie,Josh Okogie,SG,74.0,2.9,1.2,1.2,0.4,7.7
18,Grayson Allen,Grayson Allen,SG,38.0,0.6,0.7,0.2,0.2,5.6
19,Chandler Hutchison,Chandler Hutchison,SF,44.0,4.2,0.8,0.5,0.1,5.2
20,Aaron Holiday,Aaron Holiday,PG,50.0,1.3,1.7,0.4,0.3,5.9
21,Moritz Wagner,Moritz Wagner,C,43.0,2.0,0.6,0.3,0.3,4.8
22,Landry Shamet,Landry Shamet,SG,79.0,1.7,1.5,0.5,0.1,9.1
23,Robert Williams,Robert Williams,C,32.0,2.5,0.2,0.3,1.3,2.5
24,Jacob Evans,Jacob Evans,SG,30.0,0.8,0.8,0.2,0.1,1.3
25,Omari Spellman,Omari Spellman,PF,46.0,4.2,1.0,0.6,0.5,5.9
26,Jevon Carter,Jevon Carter,PG,39.0,1.7,1.8,0.7,0.3,4.4
27,Jalen Brunson,Jalen Brunson,PG,73.0,2.3,3.2,0.5,0.1,9.3
28,Devonte' Graham,Devonte' Graham,PG,46.0,1.4,2.6,0.5,0.0,4.7
29,Melvin Frazier,Melvin Frazier,SG,10.0,0.5,0.1,0.1,0.0,1.5
