,playerName,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,dummy,SOS,Pos
0,Zion Williamson,Duke,,33.0,33.0,30.0,9.0,13.2,0.68,8.2,11.0,0.747,0.7,2.2,.338,3.9,6.2,0.64,3.5,5.4,8.9,2.1,2.1,1.8,2.4,2.1,22.6,,11.98,PF
1,Temetrius Morant,Murray State,,65.0,65.0,35.3,6.1,12.6,0.485,4.8,8.9,0.545,1.3,3.8,.343,5.1,6.3,0.81,1.5,4.6,6.1,8.2,1.4,0.6,3.8,1.7,18.7,,-3.32,PG
2,RJ Barrett,Duke,,38.0,38.0,35.3,8.4,18.5,0.454,6.5,12.2,0.529,1.9,6.2,.308,3.9,5.9,0.665,1.6,6.0,7.6,4.3,0.9,0.4,3.2,1.8,22.6,,11.98,SG
3,De'Andre Hunter,Virginia,,71.0,38.0,26.6,4.4,8.5,0.509,3.4,6.3,0.541,0.9,2.3,.419,2.8,3.6,0.773,1.3,3.1,4.4,1.6,0.6,0.5,1.2,1.9,12.4,,9.61,SF
4,Darius Garland,Vanderbilt,,5.0,5.0,27.8,5.8,10.8,0.537,3.6,6.2,0.581,2.2,4.6,.478,2.4,3.2,0.75,0.4,3.4,3.8,2.6,0.8,0.4,3.0,1.4,16.2,,7.79,PG
5,Jarrett Culver,Texas Tech,,75.0,58.0,29.5,5.3,11.6,0.459,3.9,7.5,0.522,1.4,4.1,.341,2.9,4.2,0.687,1.2,4.4,5.6,2.8,1.3,0.6,2.1,2.0,14.9,,9.56,SG
6,Coby White,UNC,,35.0,35.0,28.5,5.4,12.7,0.423,3.0,6.1,0.5,2.3,6.6,.353,3.0,3.7,0.8,0.3,3.2,3.5,4.1,1.1,0.3,2.7,1.9,16.1,,11.35,SG
7,Jaxson Hayes,Texas,,32.0,21.0,23.3,3.8,5.3,0.728,3.8,5.3,0.728,0.0,0.0,,2.3,3.1,0.74,1.8,3.3,5.0,0.3,0.6,2.2,0.9,3.3,10.0,,11.46,C
8,Rui Hachimura,Gonzaga,,102.0,39.0,19.7,4.5,7.8,0.579,4.3,7.1,0.607,0.2,0.7,.316,2.8,3.7,0.746,1.1,3.3,4.4,0.8,0.6,0.5,1.2,1.6,12.1,,3.91,PF
9,Cam Reddish,Duke,,36.0,35.0,29.7,4.3,12.0,0.356,1.8,4.6,0.394,2.5,7.4,.333,2.4,3.2,0.772,0.6,3.1,3.7,1.9,1.6,0.6,2.7,2.4,13.5,,11.98,SF
10,Cameron Johnson,Texas State,,118.0,79.0,19.9,3.7,8.0,0.464,3.7,8.0,0.465,0.0,0.0,.333,2.6,4.3,0.611,2.1,3.3,5.4,0.7,0.9,0.5,2.0,3.2,10.1,,-4.62,PF
11,P.J. Washington,Kentucky,,72.0,63.0,28.3,4.5,8.7,0.521,4.0,7.3,0.547,0.5,1.4,.384,3.4,5.4,0.632,2.1,4.5,6.6,1.7,0.8,1.0,1.9,2.6,12.9,,10.51,PF
12,Tyler Herro,Kentucky,,37.0,37.0,32.6,5.0,10.9,0.462,3.4,6.3,0.538,1.6,4.6,.355,2.4,2.5,0.935,0.4,4.1,4.5,2.5,1.1,0.3,1.6,1.3,14.0,,10.29,SG
13,Romeo Langford,Indiana,,32.0,32.0,34.1,5.5,12.3,0.448,4.5,8.4,0.53,1.1,3.9,.272,4.4,6.1,0.722,1.4,4.0,5.4,2.3,0.8,0.8,2.1,1.9,16.5,,10.10,SG
14,Chuma Okeke,Auburn,,72.0,38.0,25.5,3.6,7.5,0.481,2.4,4.3,0.55,1.2,3.2,.389,1.4,2.0,0.703,2.4,3.9,6.3,1.5,1.3,1.0,1.3,1.9,9.9,,9.11,
15,Nickeil Alexander-Walker,Virginia Tech,,67.0,67.0,29.9,4.7,10.1,0.464,3.0,5.6,0.529,1.7,4.5,.383,2.4,3.1,0.763,0.6,3.4,4.0,2.7,1.4,0.5,2.2,1.9,13.5,,7.25,SG
16,Matisse Thybulle,Washington,,135.0,134.0,29.4,3.3,7.6,0.429,1.9,3.7,0.507,1.4,4.0,.358,1.3,1.6,0.782,0.9,2.2,3.1,2.0,2.5,1.4,1.9,2.8,9.2,,7.00,SG
17,Brandon Clarke,Gonzaga,,37.0,36.0,28.1,6.9,10.1,0.687,6.8,9.7,0.705,0.1,0.4,.267,2.9,4.2,0.694,3.1,5.5,8.6,1.9,1.2,3.2,1.5,2.1,16.9,,,PF
18,Grant Williams,Tennessee,,104.0,101.0,28.9,5.3,10.2,0.516,5.0,9.2,0.54,0.3,1.0,.291,4.8,6.4,0.758,2.5,4.0,6.5,2.1,0.9,1.5,2.1,3.2,15.7,,10.15,PF
19,Ty Jerome,Virginia,,105.0,76.0,26.4,3.5,8.0,0.435,1.9,3.9,0.479,1.6,4.0,.392,1.1,1.4,0.788,0.3,2.8,3.0,3.7,1.2,0.0,1.4,1.9,9.6,,10.05,PG
