,playerName,Pos,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,dummy,SOS,NBAGP,NBATRB,NBAAST,NBASTL,NBABLK,NBAPTS
0,Deandre Ayton,C,Arizona,,35,35,33.5,7.9,12.9,.612,7.5,11.9,.635,0.3,1.0,.343,4.0,5.5,.733,3.4,8.2,11.6,1.6,0.6,1.9,2.0,2.3,20.1,,6.84,71,10.3,1.8,0.9,0.9,16.3
1,Marvin Bagley III,PF,Duke,,33,32,33.9,8.2,13.3,.614,7.5,11.6,.647,0.7,1.8,.397,4.0,6.3,.627,4.0,7.1,11.1,1.5,0.8,0.9,2.3,1.8,21.0,,9.71,62,7.6,1.0,0.5,1.0,14.9
2,Jaren Jackson Jr.,PF,Michigan State,,35,34,21.8,3.4,6.6,.513,2.3,3.9,.596,1.1,2.7,.396,3.0,3.8,.797,1.5,4.3,5.8,1.1,0.6,3.0,1.8,3.2,10.9,,7.10,58,4.7,1.1,0.9,1.4,13.8
3,Trae Young,PG,Oklahoma,,32,32,35.4,8.2,19.3,.422,4.5,9.1,.493,3.7,10.3,.360,7.4,8.6,.861,0.4,3.5,3.9,8.7,1.7,0.3,5.2,1.8,27.4,,10.56,81,3.7,8.1,0.9,0.2,19.1
4,Mo Bamba,C,Texas,,30,29,30.2,4.9,9.0,.541,4.4,7.3,.603,0.5,1.7,.275,2.7,4.0,.681,3.2,7.3,10.5,0.5,0.8,3.7,1.5,2.5,12.9,,10.67,47,5.0,0.8,0.3,1.4,6.2
5,Wendell Carter Jr.,C,Duke,,37,37,26.9,4.8,8.6,.561,4.3,7.4,.586,0.5,1.2,.413,3.4,4.5,.738,2.9,6.1,9.1,2.0,0.8,2.1,2.0,2.8,13.5,,9.71,44,7.0,1.8,0.6,1.3,10.3
6,Collin Sexton,PG,Alabama,,33,32,29.9,5.9,13.3,.447,4.6,9.3,.495,1.3,4.0,.336,5.9,7.6,.778,1.0,2.7,3.8,3.6,0.8,0.1,2.8,2.5,19.2,,10.64,82,2.9,3.0,0.5,0.1,16.7
7,Kevin Knox,PF,Kentucky,,37,37,32.4,5.3,11.9,.445,3.8,7.4,.509,1.5,4.5,.341,3.4,4.4,.774,0.9,4.5,5.4,1.4,0.8,0.3,2.3,2.2,15.6,,10.73,75,4.5,1.1,0.6,0.3,12.8
8,Mikal Bridges,SF,Villanova,,116,73,27.3,3.9,7.5,.525,2.5,3.8,.645,1.5,3.7,.400,1.9,2.3,.845,1.1,3.2,4.3,1.6,1.4,0.9,1.1,2.2,11.3,,9.74,82,3.2,2.1,1.6,0.5,8.3
9,Shai Gilgeous-Alexander,PG,Kentucky,,37,24,33.7,4.9,10.2,.485,4.3,8.6,.500,0.6,1.5,.404,3.9,4.7,.817,0.9,3.2,4.1,5.1,1.6,0.5,2.7,1.7,14.4,,10.73,82,2.8,3.3,1.2,0.5,10.8
10,Miles Bridges,SF,Michigan State,,62,60,31.6,6.2,13.2,.470,4.2,7.8,.537,2.0,5.5,.375,2.5,3.2,.776,1.4,6.2,7.6,2.4,0.6,1.1,2.1,1.7,17.0,,8.80,80,4.0,1.2,0.7,0.6,7.5
11,Jerome Robinson,SG,Boston College,,90,90,34.6,6.2,13.9,.450,4.5,9.2,.488,1.8,4.7,.376,3.4,4.5,.755,0.5,3.3,3.8,3.3,1.3,0.3,2.9,2.5,17.7,,7.65,33,1.2,0.6,0.3,0.1,3.4
12,Troy Brown Jr.,SF,Oregon,,35,35,31.2,4.1,9.2,.444,3.2,6.1,.524,0.9,3.1,.291,2.2,3.0,.743,1.5,4.7,6.2,3.2,1.6,0.2,2.5,2.2,11.3,,4.84,52,2.8,1.5,0.4,0.1,4.8
13,Zhaire Smith,SG,Texas Tech,,37,21,28.4,4.2,7.5,.556,3.7,6.4,.574,0.5,1.1,.450,2.5,3.4,.717,2.2,2.8,5.0,1.8,1.1,1.1,1.1,1.8,11.3,,9.60,6,2.2,1.7,0.3,0.3,6.7
14,Donte DiVincenzo,SG,Villanova,,85,12,25.4,3.6,7.6,.469,2.0,3.6,.573,1.5,4.0,.378,1.6,2.2,.705,1.1,2.9,4.0,2.4,0.9,0.2,1.6,1.8,10.2,,9.74,27,2.4,1.1,0.5,0.2,4.9
15,Lonnie Walker,SG,Miami (FL),,32,18,27.8,4.1,9.9,.415,2.4,4.9,.487,1.8,5.1,.346,1.5,2.0,.738,0.4,2.2,2.6,1.9,0.9,0.5,1.2,1.6,11.5,,6.96,17,1.0,0.5,0.4,0.2,2.6
16,Kevin Huerter,SG,Maryland,,65,65,31.9,4.2,9.0,.466,2.1,3.6,.572,2.1,5.4,.394,1.5,2.0,.748,0.8,4.2,5.0,3.0,0.8,0.7,1.9,2.1,12.0,,8.11,75,3.3,2.9,0.9,0.3,9.7
17,Josh Okogie,SG,Georgia Tech,,61,61,33.0,5.4,12.3,.437,4.3,9.4,.454,1.1,2.8,.382,5.1,6.6,.777,1.8,4.0,5.8,2.0,1.5,0.8,2.3,2.7,16.9,,7.84,74,2.9,1.2,1.2,0.4,7.7
18,Grayson Allen,SG,Duke,,142,97,27.9,4.3,9.9,.430,2.2,4.5,.490,2.0,5.4,.380,3.5,4.2,.834,0.5,2.6,3.2,3.0,1.0,0.1,1.7,2.1,14.1,,10.27,38,0.6,0.7,0.2,0.2,5.6
19,Chandler Hutchison,SF,Boise State,,123,89,24.0,4.3,8.9,.476,3.6,7.1,.508,0.6,1.8,.353,2.9,4.2,.687,1.1,4.3,5.5,2.1,1.0,0.2,1.9,2.2,12.0,,2.57,44,4.2,0.8,0.5,0.1,5.2
20,Aaron Holiday,PG,UCLA,,101,65,31.8,4.7,10.5,.450,2.9,6.2,.469,1.8,4.2,.422,3.1,3.9,.795,0.5,2.7,3.2,4.7,1.2,0.2,3.0,2.7,14.3,,7.65,50,1.3,1.7,0.4,0.3,5.9
21,Moritz Wagner,C,Michigan,,107,77,21.0,3.9,7.2,.547,2.9,4.5,.643,1.0,2.7,.385,1.5,2.2,.698,1.2,3.3,4.5,0.5,0.8,0.4,1.2,2.5,10.4,,9.16,43,2.0,0.6,0.3,0.3,4.8
22,Landry Shamet,SG,Wichita State,,71,68,28.6,4.2,8.7,.480,1.9,3.6,.542,2.2,5.1,.437,2.3,2.8,.811,0.5,2.5,3.0,4.1,0.8,0.2,1.5,2.1,12.9,,4.22,79,1.7,1.5,0.5,0.1,9.1
23,Robert Williams,C,Texas A&M,,61,40,25.7,4.8,8.1,.591,4.8,7.6,.624,0.0,0.5,.067,1.5,2.8,.541,2.7,6.0,8.7,1.4,0.7,2.5,1.7,2.0,11.1,,9.29,32,2.5,0.2,0.3,1.3,2.5
24,Jacob Evans,SG,Cincinnati,,105,80,29.1,4.0,9.4,.429,2.4,5.0,.476,1.7,4.4,.377,2.0,2.7,.755,1.3,3.0,4.3,2.5,1.1,0.9,1.3,2.0,11.7,,4.76,30,0.8,0.8,0.2,0.1,1.3
25,Omari Spellman,PF,Villanova,,40,39,28.1,4.0,8.4,.476,2.4,4.7,.511,1.6,3.8,.433,1.2,1.8,.700,2.3,5.8,8.0,0.8,0.7,1.5,1.0,2.3,10.9,,10.24,46,4.2,1.0,0.6,0.5,5.9
26,Jevon Carter,PG,West Virginia,,144,112,29.9,4.1,10.0,.407,2.4,5.3,.453,1.7,4.7,.355,2.4,3.0,.798,0.9,2.8,3.7,3.9,2.3,0.2,1.8,2.5,12.2,,9.53,39,1.7,1.8,0.7,0.3,4.4
27,Jalen Brunson,PG,Villanova,,116,115,28.9,5.0,9.8,.510,3.5,5.9,.587,1.5,3.9,.393,2.9,3.5,.820,0.4,2.1,2.5,3.7,0.8,0.0,1.9,1.8,14.4,,9.74,73,2.3,3.2,0.5,0.1,9.3
28,Devonte' Graham,PG,Kansas,,142,111,31.7,3.8,9.1,.422,1.8,4.0,.437,2.1,5.1,.409,2.5,3.2,.787,0.4,2.7,3.1,4.5,1.4,0.1,1.9,1.7,12.3,,11.86,46,1.4,2.6,0.5,0.0,4.7
29,Melvin Frazier,SG,Tulane,,94,69,27.7,3.8,7.9,.481,3.0,5.2,.572,0.9,2.8,.312,2.1,3.2,.653,1.2,3.2,4.4,1.7,1.6,0.5,2.0,2.0,10.6,,3.37,10,0.5,0.1,0.1,0.0,1.5
30,Gary Trent Jr.,SG,Duke,,37,37,33.9,4.8,11.5,.415,2.2,5.0,.430,2.6,6.5,.402,2.3,2.6,.876,0.8,3.4,4.2,1.4,1.2,0.1,1.0,1.7,14.5,,9.71,15,0.7,0.3,0.1,0.1,2.7
31,Khyri Thomas,SG,Creighton,,102,95,27.2,4.2,8.2,.511,2.9,5.1,.578,1.3,3.2,.406,1.5,2.1,.719,1.1,3.5,4.6,2.5,1.4,0.3,1.6,1.8,11.2,,7.83,26,0.8,0.3,0.3,0.2,2.3
32,Jarred Vanderbilt,PF,Kentucky,,14,0,17.0,2.1,4.9,.426,2.1,4.8,.433,0.0,0.1,.000,1.7,2.7,.632,3.3,4.6,7.9,1.0,0.4,0.8,1.1,2.6,5.9,,10.73,17,1.4,0.2,0.4,0.1,1.4
33,Bruce Brown,SG,Miami (FL),,52,48,32.6,4.1,9.2,.442,3.1,6.3,.502,0.9,3.0,.316,2.6,3.7,.702,1.4,4.8,6.2,3.5,1.4,0.6,2.1,2.4,11.7,,8.26,74,2.5,1.2,0.5,0.5,4.3
34,Hamidou Diallo,SG,Kentucky,,37,37,24.8,3.6,8.5,.428,2.9,6.4,.458,0.7,2.1,.338,2.1,3.4,.616,0.9,2.8,3.6,1.2,0.8,0.4,1.4,2.6,10.0,,10.73,51,1.9,0.3,0.4,0.2,3.7
35,De'Anthony Melton,PG,USC,,36,25,27.0,2.8,6.4,.437,2.2,4.4,.510,0.6,2.1,.284,2.1,3.0,.706,1.4,3.3,4.7,3.5,1.9,1.0,1.8,2.3,8.3,,6.40,50,2.7,3.2,1.4,0.5,5.0
36,Sviatoslav Mykhailiuk,SF,Kansas,,136,70,22.6,3.1,7.3,.428,1.4,3.0,.455,1.7,4.3,.409,0.7,1.0,.746,0.7,1.8,2.5,1.5,0.7,0.2,1.1,1.7,8.7,,11.86,42,0.9,0.9,0.3,0.0,3.2
37,Keita Bates-Diop,SF,Ohio State,,109,70,24.8,4.3,9.1,.472,3.2,5.9,.537,1.1,3.2,.352,1.9,2.5,.776,1.1,4.6,5.7,1.1,0.6,1.2,1.2,1.4,11.7,,7.69,30,2.8,0.6,0.6,0.5,5.0
38,Chimezie Metu,PF,USC,,104,71,27.0,4.8,8.9,.533,4.6,8.5,.545,0.1,0.4,.302,2.7,3.9,.692,1.8,4.5,6.3,1.2,0.7,1.6,1.7,2.5,12.3,,6.78,29,1.2,0.4,0.2,0.1,1.8
39,Alize Johnson,PF,Missouri State,,66,66,30.7,5.2,11.3,.457,3.9,7.5,.523,1.2,3.8,.325,3.3,4.6,.716,3.2,7.9,11.1,2.4,0.5,0.3,2.3,2.3,14.9,,0.82,14,1.4,0.1,0.1,0.2,0.9
40,Vince Edwards,SF,Purdue,,138,127,28.7,4.3,9.0,.473,3.0,5.8,.518,1.3,3.2,.392,2.1,2.5,.820,1.9,3.7,5.6,2.9,0.5,0.5,1.7,2.0,11.9,,8.15,2,1.0,0.0,0.0,0.0,1.5
41,Devon Hall,SG,Virginia,,128,89,24.0,2.4,5.7,.419,1.5,3.4,.440,0.9,2.3,.389,1.2,1.5,.807,0.3,2.8,3.2,2.1,0.6,0.2,0.9,1.4,6.9,,9.73,5,0.2,0.6,0.0,0.0,1.0
42,Shake Milton,SG,SMU,,87,80,34.7,4.5,9.9,.452,2.3,4.8,.478,2.2,5.1,.427,2.3,2.9,.791,0.4,3.4,3.9,3.9,1.1,0.4,1.8,1.6,13.4,,4.22,20,1.8,0.9,0.4,0.4,4.4
43,Ray Spalding,PF,Louisville,,100,48,21.7,3.3,6.0,.557,3.3,5.7,.571,0.1,0.3,.240,1.4,2.5,.579,2.3,4.0,6.3,0.9,1.0,1.1,1.3,2.6,8.1,,9.32,14,3.4,0.4,0.6,0.6,3.9
44,Kevin Hervey,PF,Texas-Arlington,,115,84,27.7,5.5,12.5,.440,3.7,7.0,.530,1.8,5.5,.324,2.8,3.6,.768,1.9,6.1,8.0,1.9,1.0,0.5,2.1,1.9,15.5,,-2.12,7,0.3,0.1,0.0,0.0,0.3
45,Thomas Welsh,C,UCLA,,132,94,25.0,4.0,7.5,.537,3.7,6.6,.554,0.3,0.9,.407,1.0,1.3,.798,2.4,5.5,7.8,0.8,0.4,1.1,0.7,2.5,9.5,,7.80,11,0.4,0.5,0.0,0.0,1.6
46,George King,SF,Colorado,,127,89,22.6,3.5,7.9,.444,2.1,4.3,.478,1.4,3.6,.401,1.8,2.4,.731,1.4,3.9,5.4,0.7,0.4,0.3,1.5,1.8,10.2,,7.36,1,1.0,0.0,0.0,0.0,0.0
47,Kostas Antetokounmpo,PF,Dayton,,29,6,15.1,2.0,3.5,.574,1.9,3.0,.651,0.1,0.5,.133,1.1,2.2,.516,0.8,2.0,2.9,0.4,0.2,1.1,1.3,2.3,5.2,,2.70,2,0.5,0.0,1.0,0.0,1.0
48,Markelle Fultz,SG,Washington,,25,25,35.7,8.4,17.6,.476,6.3,12.5,.502,2.1,5.0,.413,4.4,6.7,.649,1.3,4.4,5.7,5.9,1.6,1.2,3.2,2.5,23.2,,6.82,14,3.1,3.8,0.9,0.3,7.1
49,Lonzo Ball,PG,UCLA,,36,36,35.1,5.3,9.5,.551,3.0,4.1,.732,2.2,5.4,.412,1.8,2.7,.673,0.9,5.1,6.0,7.6,1.8,0.8,2.5,1.8,14.6,,6.39,52,6.9,7.2,1.7,0.8,10.2
50,Jayson Tatum,SF,Duke,,29,27,33.3,5.7,12.6,.452,4.3,8.6,.504,1.4,4.0,.342,4.1,4.8,.849,1.3,6.0,7.3,2.1,1.3,1.1,2.6,3.0,16.8,,10.91,80,5.0,1.6,1.0,0.7,13.9
51,Josh Jackson,SF,Kansas,,35,35,30.8,6.3,12.3,.513,5.3,9.7,.549,1.0,2.6,.378,2.8,4.9,.566,2.3,5.1,7.4,3.0,1.7,1.1,2.8,3.0,16.3,,12.23,77,4.6,1.5,1.0,0.5,13.1
52,De'Aaron Fox,PG,Kentucky,,36,34,29.6,5.9,12.4,.479,5.5,10.5,.521,0.5,1.9,.246,4.3,5.9,.736,0.6,3.4,4.0,4.6,1.5,0.2,2.4,2.5,16.7,,10.49,73,2.8,4.4,1.0,0.3,11.6
53,Jonathan Isaac,PF,Florida State,,32,32,26.2,4.1,8.0,.508,3.1,5.2,.593,1.0,2.8,.348,2.9,3.7,.780,1.8,6.1,7.8,1.2,1.2,1.5,1.5,2.2,12.0,,8.87,27,3.7,0.7,1.2,1.1,5.4
54,Lauri Markkanen,PF,Arizona,,37,37,30.8,5.0,10.2,.492,3.1,5.8,.545,1.9,4.4,.423,3.7,4.4,.835,2.4,4.8,7.2,0.9,0.4,0.5,1.1,2.0,15.6,,7.63,68,7.5,1.2,0.6,0.6,15.2
55,Dennis Smith Jr.,PG,NC State,,32,32,34.8,6.0,13.1,.455,4.3,8.3,.509,1.7,4.8,.359,4.5,6.3,.715,0.8,3.8,4.6,6.2,1.9,0.4,3.4,2.1,18.1,,8.09,69,3.8,5.2,1.0,0.3,15.2
56,Zach Collins,C,Gonzaga,,39,0,17.3,3.5,5.3,.652,3.2,4.8,.672,0.3,0.5,.476,2.8,3.8,.743,1.7,4.2,5.9,0.4,0.5,1.8,1.5,2.7,10.0,,4.13,66,3.3,0.8,0.3,0.5,4.4
57,Malik Monk,SG,Kentucky,,38,37,32.1,6.6,14.7,.450,3.9,7.8,.497,2.7,6.9,.397,3.9,4.7,.822,0.3,2.2,2.5,2.3,0.9,0.5,2.0,1.9,19.8,,10.49,63,1.0,1.4,0.3,0.1,6.7
58,Luke Kennard,SG,Duke,,73,47,31.2,5.2,11.2,.461,3.2,6.1,.526,2.0,5.1,.383,3.4,3.9,.867,1.1,3.3,4.3,2.0,0.9,0.3,1.2,2.1,15.7,,10.75,73,2.4,1.7,0.6,0.2,7.6
59,Donovan Mitchell,SG,Louisville,,65,38,26.0,4.1,9.8,.418,2.6,5.2,.497,1.5,4.6,.329,2.0,2.5,.788,1.1,3.0,4.1,2.2,1.5,0.3,1.3,2.6,11.7,,9.44,79,3.7,3.7,1.5,0.3,20.5
60,Bam Adebayo,C,Kentucky,,38,38,30.1,4.5,7.5,.599,4.5,7.5,.599,0.0,0.0,,4.1,6.2,.653,3.1,4.9,8.0,0.8,0.7,1.5,1.7,2.6,13.0,,10.49,69,5.5,1.5,0.5,0.6,6.9
